"ServiceDistrict","Status","2019-09-30_N","2019-09-30_Change","2019-12-31_N","2019-12-31_Change","2020-03-31_N","2020-03-31_Change","2020-06-30_N","2020-06-30_Change","2020-09-30_N","2020-09-30_Change","2020-12-31_N","2020-12-31_Change","2021-03-31_N","2021-03-31_Change","2021-06-30_N","2021-06-30_Change","2021-09-30_N","2021-09-30_Change","2021-12-31_N","2021-12-31_Change","2022-03-31_N","2022-03-31_Change","2022-06-30_N","2022-06-30_Change","2022-09-30_N","2022-09-30_Change","2022-12-31_N","2022-12-31_Change","2023-03-31_N","2023-03-31_Change"
"Midwest-Gascoyne","Rate",47.3684210526316,,53.5714285714286,,58.9041095890411,,58.5106382978723,,60.1941747572816,,58.9285714285714,,49.6062992125984,,48.2269503546099,,48.5380116959064,,42.1875,,42.0560747663551,,44.8275862068966,,36.1216730038023,,35.6164383561644,,32.9073482428115,
"Midwest-Gascoyne","Total",38,,56,47.3684210526316,73,30.3571428571429,94,28.7671232876712,103,9.57446808510638,112,8.7378640776699,127,13.3928571428571,141,11.0236220472441,171,21.2765957446809,192,12.280701754386,214,11.4583333333333,232,8.41121495327102,263,13.3620689655172,292,11.0266159695817,313,7.1917808219178
"North East Metro","Active",367,,373,1.63487738419619,392,5.09383378016086,408,4.08163265306123,450,10.2941176470588,502,11.5555555555556,551,9.7609561752988,554,0.544464609800355,582,5.05415162454874,580,-0.343642611683848,601,3.62068965517242,623,3.66056572379367,626,0.481540930979141,652,4.15335463258786,670,2.76073619631902
"North East Metro","Rate",64.1608391608392,,62.3745819397993,,60.9642301710731,,59.1304347826087,,59.2105263157895,,60.1918465227818,,59.1201716738197,,56.6462167689162,,55.640535372849,,53.3578656853726,,52.580927384077,,51.275720164609,,48.5271317829457,,47.7655677655678,,47.1830985915493,
"North East Metro","Total",572,,598,4.54545454545454,643,7.52508361204014,690,7.30948678071539,760,10.1449275362319,834,9.73684210526315,932,11.7505995203837,978,4.93562231759657,1046,6.95296523517381,1087,3.91969407265775,1143,5.15179392824288,1215,6.29921259842521,1290,6.17283950617284,1365,5.8139534883721,1420,4.02930402930404
"North Metro","Active",234,,267,14.1025641025641,292,9.36329588014981,317,8.56164383561644,381,20.1892744479495,410,7.61154855643045,449,9.51219512195123,458,2.00445434298442,474,3.4934497816594,487,2.74261603375527,478,-1.84804928131417,486,1.67364016736402,525,8.02469135802468,536,2.09523809523811,531,-0.932835820895528
"North Metro","Rate",75.4838709677419,,72.1621621621622,,68.384074941452,,65.2263374485597,,67.9144385026738,,64.2633228840125,,61.0054347826087,,58.8688946015424,,57.8048780487805,,56.4310544611819,,52.2975929978118,,50.6777893639208,,51.3196480938416,,50.9021842355176,,47.7088948787062,
"North Metro","Total",310,,370,19.3548387096774,427,15.4054054054054,486,13.8173302107728,561,15.4320987654321,638,13.7254901960784,736,15.3605015673981,778,5.70652173913044,820,5.39845758354756,863,5.24390243902439,914,5.90961761297799,959,4.9234135667396,1023,6.67361835245046,1053,2.93255131964809,1113,5.69800569800569
"Other","Active",,,,,,,2,,7,250,5,-28.5714285714286,5,0,4,-20,5,25,5,0,4,-20,6,50,8,33.3333333333333,7,-12.5,9,28.5714285714286
"Other","Rate",,,,,,,66.6666666666667,,58.3333333333333,,62.5,,62.5,,80,,83.3333333333333,,83.3333333333333,,66.6666666666667,,40,,47.0588235294118,,38.8888888888889,,52.9411764705882,
